video,target,strict,frame_index,split,saved_image,saved_label,saved_preview,num_boxes,labels,top_label,top_conf
DJI_20260410103033_0018_D.MP4,drowning,False,0,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000000.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000000.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000000.jpg,3,"drowning,tread water,tread water",drowning,0.5655
DJI_20260410103033_0018_D.MP4,drowning,False,62,val,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/val/drowning__DJI_20260410103033_0018_D__frame_000062.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/val/drowning__DJI_20260410103033_0018_D__frame_000062.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/val/drowning__DJI_20260410103033_0018_D__frame_000062.jpg,4,"tread water,tread water,tread water,drowning",tread water,0.4958
DJI_20260410103033_0018_D.MP4,drowning,False,122,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000122.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000122.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000122.jpg,1,drowning,drowning,0.4850
DJI_20260410103033_0018_D.MP4,drowning,False,182,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000182.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000182.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000182.jpg,3,"tread water,drowning,tread water",tread water,0.5708
DJI_20260410103033_0018_D.MP4,drowning,False,242,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000242.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000242.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000242.jpg,2,"tread water,drowning",tread water,0.3561
DJI_20260410103033_0018_D.MP4,drowning,False,302,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000302.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000302.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000302.jpg,1,drowning,drowning,0.4955
DJI_20260410103033_0018_D.MP4,drowning,False,367,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000367.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000367.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000367.jpg,2,"tread water,drowning",tread water,0.5326
DJI_20260410103033_0018_D.MP4,drowning,False,427,val,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/val/drowning__DJI_20260410103033_0018_D__frame_000427.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/val/drowning__DJI_20260410103033_0018_D__frame_000427.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/val/drowning__DJI_20260410103033_0018_D__frame_000427.jpg,2,"drowning,tread water",drowning,0.3711
DJI_20260410103033_0018_D.MP4,drowning,False,562,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000562.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000562.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000562.jpg,3,"tread water,swimming,drowning",tread water,0.6376
DJI_20260410103033_0018_D.MP4,drowning,False,624,val,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/val/drowning__DJI_20260410103033_0018_D__frame_000624.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/val/drowning__DJI_20260410103033_0018_D__frame_000624.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/val/drowning__DJI_20260410103033_0018_D__frame_000624.jpg,3,"swimming,tread water,drowning",swimming,0.6650
DJI_20260410103033_0018_D.MP4,drowning,False,713,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000713.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000713.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000713.jpg,4,"tread water,tread water,tread water,drowning",tread water,0.5914
DJI_20260410103033_0018_D.MP4,drowning,False,773,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_000773.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_000773.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_000773.jpg,3,"tread water,tread water,drowning",tread water,0.6412
DJI_20260410103033_0018_D.MP4,drowning,False,953,val,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/val/drowning__DJI_20260410103033_0018_D__frame_000953.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/val/drowning__DJI_20260410103033_0018_D__frame_000953.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/val/drowning__DJI_20260410103033_0018_D__frame_000953.jpg,4,"tread water,tread water,tread water,drowning",tread water,0.7195
DJI_20260410103033_0018_D.MP4,drowning,False,1013,val,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/val/drowning__DJI_20260410103033_0018_D__frame_001013.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/val/drowning__DJI_20260410103033_0018_D__frame_001013.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/val/drowning__DJI_20260410103033_0018_D__frame_001013.jpg,4,"tread water,tread water,tread water,drowning",tread water,0.6522
DJI_20260410103033_0018_D.MP4,drowning,False,1073,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_001073.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_001073.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_001073.jpg,4,"tread water,tread water,tread water,drowning",tread water,0.5419
DJI_20260410103033_0018_D.MP4,drowning,False,1356,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_001356.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_001356.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_001356.jpg,3,"tread water,tread water,drowning",tread water,0.3462
DJI_20260410103033_0018_D.MP4,drowning,False,1471,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410103033_0018_D__frame_001471.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410103033_0018_D__frame_001471.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410103033_0018_D__frame_001471.jpg,2,"drowning,tread water",drowning,0.2897
DJI_20260410102649_0017_D.MP4,drowning,False,0,train,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/images/train/drowning__DJI_20260410102649_0017_D__frame_000000.jpg,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/labels/train/drowning__DJI_20260410102649_0017_D__frame_000000.txt,/Users/neerad/drowning-detection/datasets/dji003_priority_drowning_v2/previews/train/drowning__DJI_20260410102649_0017_D__frame_000000.jpg,5,"tread water,drowning,tread water,drowning,tread water",tread water,0.6986
