               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091126,            0.031716,            0.034177,                   1,             0.40301,             0.70149,             0.55086,             0.07566,            0.030523,            0.031509,           0.0033295,           0.0033295,            0.070034
                   1,            0.067881,            0.024054,            0.024151,                   1,             0.99273,             0.99369,             0.68152,            0.051698,            0.017469,             0.01473,           0.0066569,           0.0066569,            0.040028
                   2,            0.055703,            0.018235,             0.01659,                   1,              0.9944,             0.99437,             0.70991,            0.047756,            0.014418,           0.0093346,           0.0099607,           0.0099607,           0.0099988
                   3,            0.046369,            0.015197,            0.010803,                   1,                   1,               0.995,             0.80117,            0.032869,            0.014119,           0.0047279,           0.0099203,           0.0099203,           0.0099203
                   4,            0.039689,            0.013502,           0.0093024,                   1,                   1,               0.995,             0.82425,            0.028612,            0.010432,           0.0040321,           0.0099203,           0.0099203,           0.0099203
                   5,            0.035941,            0.012727,           0.0078973,                   1,             0.99976,               0.995,             0.83279,            0.027146,           0.0098494,           0.0042306,           0.0098586,           0.0098586,           0.0098586
                   6,             0.03366,            0.011944,           0.0075462,                   1,             0.99885,               0.995,             0.83429,            0.026222,           0.0096571,           0.0036769,           0.0097798,           0.0097798,           0.0097798
                   7,            0.032335,            0.011685,           0.0067428,                   1,             0.99836,               0.995,             0.85138,            0.024292,           0.0089726,           0.0034823,            0.009684,            0.009684,            0.009684
                   8,            0.031011,            0.011268,           0.0068822,                   1,             0.99928,               0.995,             0.85836,             0.02323,           0.0086574,            0.003448,           0.0095717,           0.0095717,           0.0095717
                   9,            0.030358,            0.010937,           0.0065112,                   1,             0.99976,               0.995,             0.85757,            0.023052,           0.0084891,           0.0041883,           0.0094434,           0.0094434,           0.0094434
                  10,            0.029507,            0.010767,           0.0062327,                   1,              0.9986,               0.995,             0.85953,             0.02276,           0.0084613,           0.0034856,           0.0092995,           0.0092995,           0.0092995
                  11,            0.028923,             0.01069,           0.0059511,                   1,             0.99893,               0.995,             0.86582,            0.022104,           0.0083623,           0.0033182,           0.0091406,           0.0091406,           0.0091406
                  12,            0.028379,            0.010492,           0.0061341,                   1,             0.99952,               0.995,              0.8709,            0.021285,           0.0080974,           0.0029025,           0.0089673,           0.0089673,           0.0089673
                  13,            0.027612,            0.010333,           0.0058502,                   1,             0.99952,               0.995,             0.87015,            0.021272,           0.0080515,           0.0032657,           0.0087804,           0.0087804,           0.0087804
                  14,            0.027458,            0.010159,           0.0055851,                   1,              0.9985,               0.995,             0.87012,            0.021011,           0.0079582,           0.0031029,           0.0085805,           0.0085805,           0.0085805
                  15,             0.02697,            0.010114,           0.0055837,                   1,             0.99909,               0.995,             0.87138,            0.020959,           0.0079294,           0.0029522,           0.0083684,           0.0083684,           0.0083684
                  16,            0.026792,            0.010083,           0.0057229,                   1,             0.99909,               0.995,              0.8707,            0.020887,           0.0078644,           0.0026633,            0.008145,            0.008145,            0.008145
                  17,            0.026214,            0.009903,           0.0054367,                   1,             0.99942,               0.995,             0.87879,            0.020001,           0.0076344,           0.0029283,           0.0079112,           0.0079112,           0.0079112
                  18,            0.026012,           0.0098514,           0.0051079,                   1,                   1,               0.995,             0.87695,            0.020049,           0.0075974,           0.0027113,           0.0076679,           0.0076679,           0.0076679
                  19,             0.02588,           0.0098086,           0.0050659,                   1,              0.9985,               0.995,             0.87711,            0.020039,           0.0075949,           0.0029112,            0.007416,            0.007416,            0.007416
                  20,             0.02558,           0.0098007,           0.0050803,                   1,             0.99885,               0.995,             0.87773,            0.019913,            0.007561,           0.0028098,           0.0071566,           0.0071566,           0.0071566
                  21,            0.025386,           0.0096444,           0.0052635,                   1,             0.99826,               0.995,             0.87835,            0.019814,           0.0074795,           0.0026619,           0.0068906,           0.0068906,           0.0068906
                  22,            0.024865,             0.00952,           0.0047072,                   1,             0.99917,               0.995,              0.8808,            0.019449,           0.0074073,           0.0027005,           0.0066191,           0.0066191,           0.0066191
                  23,            0.024836,           0.0096106,           0.0049419,                   1,              0.9985,               0.995,             0.87873,            0.019579,            0.007416,           0.0026508,           0.0063432,           0.0063432,           0.0063432
                  24,            0.024605,           0.0094894,            0.004717,                   1,             0.99917,               0.995,             0.88116,            0.019329,           0.0073397,           0.0025299,            0.006064,            0.006064,            0.006064
                  25,            0.024204,           0.0093887,           0.0045195,                   1,             0.99644,               0.995,             0.87955,             0.01938,           0.0072987,           0.0027565,           0.0057826,           0.0057826,           0.0057826
                  26,            0.024046,           0.0093805,           0.0047005,                   1,             0.99711,               0.995,              0.8829,            0.019048,           0.0072593,           0.0026975,              0.0055,              0.0055,              0.0055
                  27,            0.023942,           0.0092278,           0.0044303,             0.97964,             0.98146,              0.9914,             0.83064,            0.018939,           0.0072214,           0.0026684,           0.0052174,           0.0052174,           0.0052174
                  28,            0.023824,           0.0092957,           0.0043306,                   1,             0.99826,               0.995,             0.88424,            0.018877,           0.0072163,           0.0025337,            0.004936,            0.004936,            0.004936
                  29,            0.023594,           0.0091921,            0.004554,                   1,             0.99976,               0.995,             0.88387,            0.018944,           0.0071857,           0.0025717,           0.0046568,           0.0046568,           0.0046568
                  30,            0.023373,           0.0091221,           0.0042826,                   1,             0.99976,               0.995,             0.88531,            0.018749,           0.0071468,           0.0022849,           0.0043809,           0.0043809,           0.0043809
                  31,            0.023169,             0.00901,           0.0041543,             0.97991,             0.98141,             0.99291,             0.83321,             0.01875,           0.0070907,           0.0023495,           0.0041094,           0.0041094,           0.0041094
                  32,            0.023043,           0.0090034,           0.0039106,             0.96566,             0.97687,             0.98509,             0.75369,            0.018704,           0.0071157,           0.0024108,           0.0038434,           0.0038434,           0.0038434
                  33,            0.023044,           0.0090579,           0.0042236,              0.9812,             0.96443,             0.98654,              0.7556,            0.018573,           0.0070687,           0.0023735,            0.003584,            0.003584,            0.003584
                  34,            0.022914,           0.0088806,           0.0041835,             0.97916,             0.96911,             0.98766,             0.75583,            0.018576,           0.0070613,            0.002416,           0.0033321,           0.0033321,           0.0033321
                  35,            0.022739,           0.0090091,           0.0040655,             0.97126,             0.97878,             0.98862,              0.7588,            0.018525,           0.0070281,           0.0023224,           0.0030888,           0.0030888,           0.0030888
                  36,            0.022823,           0.0089821,           0.0038086,              0.9745,             0.97472,             0.98869,             0.75742,            0.018562,           0.0070574,           0.0022261,            0.002855,            0.002855,            0.002855
                  37,            0.022559,           0.0089291,           0.0037902,             0.97895,             0.98451,             0.98875,             0.80856,            0.018411,           0.0069818,           0.0023012,           0.0026316,           0.0026316,           0.0026316
                  38,            0.022324,           0.0088508,           0.0040793,             0.97137,             0.97807,             0.98587,             0.75574,            0.018431,           0.0070172,           0.0023713,           0.0024195,           0.0024195,           0.0024195
                  39,            0.022377,           0.0088548,           0.0036471,             0.97718,             0.97097,             0.98692,             0.76004,            0.018324,            0.006979,           0.0024436,           0.0022196,           0.0022196,           0.0022196
                  40,            0.022168,           0.0087951,           0.0034729,             0.97181,              0.9727,             0.98629,             0.75991,            0.018394,           0.0069763,           0.0023617,           0.0020327,           0.0020327,           0.0020327
                  41,            0.022065,           0.0086991,           0.0038181,              0.9723,             0.97674,             0.98844,             0.75765,             0.01829,           0.0069642,           0.0023759,           0.0018594,           0.0018594,           0.0018594
                  42,            0.022253,           0.0088147,           0.0036227,             0.98374,             0.96578,              0.9873,             0.76124,            0.018209,           0.0069081,            0.002371,           0.0017005,           0.0017005,           0.0017005
                  43,            0.021848,           0.0087052,           0.0035344,             0.97875,             0.96974,             0.98672,             0.76226,            0.018082,           0.0068823,            0.002403,           0.0015566,           0.0015566,           0.0015566
                  44,            0.021896,           0.0087465,           0.0034998,             0.97303,             0.97607,             0.98675,             0.76184,            0.018171,            0.006906,           0.0023994,           0.0014283,           0.0014283,           0.0014283
                  45,            0.021856,           0.0086866,           0.0033258,             0.97859,             0.96789,             0.98756,             0.76039,            0.018157,           0.0069025,           0.0024223,            0.001316,            0.001316,            0.001316
                  46,            0.021693,           0.0086114,           0.0033902,             0.97275,              0.9765,             0.98742,              0.7639,            0.018141,           0.0068778,            0.002449,           0.0012202,           0.0012202,           0.0012202
                  47,            0.021712,           0.0088062,           0.0035466,             0.97252,             0.97388,              0.9879,             0.76378,            0.018147,           0.0068783,           0.0023816,           0.0011414,           0.0011414,           0.0011414
                  48,             0.02161,           0.0085569,           0.0031796,             0.97577,              0.9715,             0.98528,              0.7651,            0.018094,           0.0068425,           0.0023664,           0.0010797,           0.0010797,           0.0010797
                  49,            0.021749,           0.0086836,           0.0034054,             0.97695,             0.97282,             0.98858,             0.76121,            0.018207,           0.0068788,           0.0023465,           0.0010355,           0.0010355,           0.0010355
