epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.736,0.84992,0.78611,1.05983,0.78848,0.78123,0.85888,0.69982,0.69934,0.55865,0.98929,0.000470066,0.000470066,0.000470066
2,248.763,0.81081,0.76239,1.0431,0.80969,0.80795,0.88977,0.71047,0.69599,0.54462,0.99182,0.000899552,0.000899552,0.000899552
3,365.974,0.80086,0.72199,1.02797,0.78356,0.88559,0.8606,0.703,0.69316,0.55427,0.97718,0.00128188,0.00128188,0.00128188
4,485.638,0.76007,0.69763,1.01479,0.80238,0.88426,0.87889,0.70965,0.68277,0.53706,0.98702,0.00121679,0.00121679,0.00121679
5,607.284,0.77215,0.69112,1.01586,0.73097,0.89957,0.88059,0.71171,0.69725,0.56286,1.01069,0.00114606,0.00114606,0.00114606
6,729.874,0.77728,0.67014,1.02713,0.77871,0.90054,0.89266,0.7204,0.68291,0.52024,0.9944,0.00107532,0.00107532,0.00107532
7,852.73,0.7492,0.65367,0.9914,0.80771,0.83858,0.88574,0.72189,0.65231,0.56602,0.96141,0.00100459,0.00100459,0.00100459
8,974.15,0.75642,0.63788,1.00769,0.80878,0.88037,0.89675,0.73111,0.66677,0.52016,0.96818,0.000933851,0.000933851,0.000933851
9,1093.55,0.75434,0.6487,1.01191,0.81117,0.87749,0.90041,0.73712,0.66309,0.5335,0.96817,0.000863116,0.000863116,0.000863116
10,1217.16,0.76265,0.64072,1.01059,0.79942,0.86823,0.88787,0.72458,0.66321,0.51838,0.96997,0.00079238,0.00079238,0.00079238
11,1339.54,0.73315,0.61349,1.00758,0.85729,0.8623,0.89137,0.71655,0.67625,0.52206,0.97296,0.000721645,0.000721645,0.000721645
12,1457.18,0.75304,0.62873,1.0152,0.83069,0.86311,0.8842,0.72135,0.67361,0.50683,0.98464,0.000650909,0.000650909,0.000650909
13,1583.88,0.70962,0.60212,0.99823,0.81587,0.89672,0.90024,0.7349,0.65356,0.50716,0.97827,0.000580174,0.000580174,0.000580174
14,1710.35,0.71779,0.60341,0.98697,0.82297,0.89937,0.89838,0.73823,0.6345,0.47262,0.9667,0.000509438,0.000509438,0.000509438
15,1830.76,0.70945,0.59333,1.00391,0.82196,0.87464,0.89281,0.727,0.64693,0.47572,0.96771,0.000438703,0.000438703,0.000438703
16,1949.91,0.68911,0.56032,0.9735,0.81046,0.90242,0.8889,0.73089,0.63533,0.4592,0.97039,0.000367967,0.000367967,0.000367967
17,2068.03,0.69344,0.57321,0.97422,0.82092,0.90922,0.89199,0.73838,0.62471,0.44602,0.97065,0.000297232,0.000297232,0.000297232
18,2188.36,0.70149,0.55693,0.98392,0.82684,0.87558,0.88887,0.73649,0.62934,0.46047,0.97051,0.000226497,0.000226497,0.000226497
19,2306,0.67128,0.54179,0.96888,0.82914,0.90738,0.89577,0.74062,0.6278,0.4427,0.96677,0.000155761,0.000155761,0.000155761
20,2427.87,0.68316,0.54584,0.98058,0.81102,0.90533,0.89137,0.74005,0.62464,0.44569,0.96534,8.50255e-05,8.50255e-05,8.50255e-05
